
i,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,s/p,s/p,s/p,s/p,s/p,s/p,s/p,0,s/p,s/p,0,s/p
2,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,0,s/p,0.2,s/p
3,s/p,s/p,s/p,s/p,s/p,s/p,0.4,s/p,s/p,s/p,s/p,s/p
4,s/p,s/p,s/p,s/p,s/p,s/p,4.8,s/p,s/p,18,s/p,s/p
5,s/p,s/p,0,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p
6,s/p,s/p,s/p,0,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p
7,s/p,0,s/p,s/p,9.8,2.8,s/p,s/p,0.2,s/p,s/p,s/p
8,s/p,s/p,s/p,s/p,s/p,0.2,s/p,s/p,s/p,s/p,s/p,s/p
9,s/p,s/p,s/p,s/p,s/p,s/p,s/p,5.8,0.6,s/p,s/p,s/p
10,s/p,s/p,s/p,s/p,6.4,s/p,0,5,4.4,s/p,s/p,s/p
11,s/p,s/p,s/p,s/p,12.2,s/p,s/p,6.2,s/p,s/p,0,s/p
12,s/p,s/p,s/p,s/p,s/p,s/p,0.8,s/p,s/p,s/p,s/p,s/p
13,s/p,s/p,s/p,s/p,s/p,s/p,0.8,0,s/p,s/p,s/p,s/p
14,s/p,s/p,s/p,s/p,s/p,s/p,9.6,s/p,s/p,s/p,s/p,s/p
15,s/p,s/p,0,s/p,s/p,6.2,1.6,s/p,s/p,s/p,s/p,s/p
16,s/p,s/p,s/p,s/p,0,20.8,s/p,s/p,s/p,0,s/p,s/p
17,s/p,s/p,s/p,0,6.8,2.8,s/p,s/p,s/p,s/p,s/p,s/p
18,s/p,s/p,s/p,s/p,3,s/p,s/p,10.8,0,s/p,s/p,s/p
19,s/p,s/p,s/p,1.4,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p
20,s/p,s/p,s/p,0.6,s/p,s/p,s/p,s/p,s/p,s/p,s/p,0
21,s/p,s/p,s/p,s/p,s/p,s/p,0,s/p,s/p,s/p,s/p,s/p
22,s/p,s/p,s/p,s/p,s/p,1.6,0.2,s/p,s/p,s/p,s/p,s/p
23,s/p,s/p,s/p,s/p,s/p,0,s/p,s/p,s/p,s/p,s/p,s/p
24,s/p,s/p,s/p,3,6.2,s/p,0,s/p,s/p,s/p,s/p,s/p
25,s/p,0,s/p,s/p,2,0.2,s/p,s/p,s/p,0,s/p,s/p
26,s/p,s/p,s/p,s/p,s/p,7.6,s/p,s/p,s/p,s/p,s/p,s/p
27,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p,s/p
28,s/p,s/p,s/p,s/p,s/p,s/p,s/p,6.6,s/p,s/p,s/p,s/p
29,s/p,,s/p,s/p,s/p,s/p,0,s/p,s/p,s/p,s/p,s/p
30,s/p,,s/p,0,s/p,s/p,s/p,s/p,11.6,s/p,s/p,s/p
31,s/p,,s/p,,s/p,,s/p,s/p,,s/p,,s/p
