dif_min,atraso_15,temporada_alta,periodo_dia
3.0,0.0,1.0,noche
9.0,0.0,1.0,noche
9.0,0.0,1.0,noche
3.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
34.0,1.0,1.0,noche
-5.0,0.0,1.0,noche
-5.0,0.0,1.0,noche
40.0,1.0,1.0,noche
69.0,1.0,1.0,noche
-9.0,0.0,1.0,noche
14.0,0.0,1.0,noche
-7.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-11.0,0.0,1.0,noche
-9.0,0.0,1.0,noche
-9.0,0.0,1.0,noche
-12.0,0.0,1.0,noche
15.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
2.0,0.0,1.0,noche
8.0,0.0,1.0,noche
-5.0,0.0,1.0,noche
52.0,1.0,1.0,noche
-5.0,0.0,1.0,noche
0.0,0.0,1.0,noche
26.0,1.0,1.0,noche
-3.0,0.0,1.0,noche
-5.0,0.0,1.0,noche
2.0,0.0,1.0,noche
2.0,0.0,1.0,noche
-7.0,0.0,1.0,noche
-1.0,0.0,1.0,noche
5.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
1.0,0.0,1.0,noche
-5.0,0.0,1.0,noche
3.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-6.0,0.0,1.0,noche
4.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-9.0,0.0,1.0,noche
-10.0,0.0,1.0,noche
0.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
1.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
10.0,0.0,1.0,noche
20.0,1.0,1.0,noche
11.0,0.0,1.0,noche
24.0,1.0,1.0,noche
-5.0,0.0,1.0,noche
-7.0,0.0,1.0,noche
14.0,0.0,1.0,noche
5.0,0.0,1.0,noche
0.0,0.0,1.0,noche
25.0,1.0,1.0,noche
1.0,0.0,1.0,noche
0.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
13.0,0.0,1.0,noche
-3.0,0.0,1.0,noche
2.0,0.0,1.0,noche
-5.0,0.0,1.0,noche
0.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
3.0,0.0,1.0,noche
-9.0,0.0,1.0,noche
5.0,0.0,1.0,noche
-3.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-10.0,0.0,1.0,noche
-9.0,0.0,1.0,noche
62.0,1.0,1.0,noche
2.0,0.0,1.0,noche
-8.0,0.0,1.0,noche
19.0,1.0,1.0,tarde
60.0,1.0,1.0,tarde
17.0,1.0,1.0,tarde
26.0,1.0,1.0,tarde
14.0,0.0,1.0,tarde
67.0,1.0,1.0,tarde
84.0,1.0,1.0,tarde
63.0,1.0,1.0,tarde
97.0,1.0,1.0,tarde
17.0,1.0,1.0,tarde
90.0,1.0,1.0,tarde
130.0,1.0,1.0,tarde
24.0,1.0,1.0,tarde
77.0,1.0,1.0,tarde
32.0,1.0,1.0,tarde
39.0,1.0,1.0,tarde
48.0,1.0,1.0,tarde
6.0,0.0,1.0,tarde
2.0,0.0,1.0,tarde
28.0,1.0,1.0,tarde
11.0,0.0,1.0,tarde
33.0,1.0,1.0,tarde
69.0,1.0,1.0,tarde
20.0,1.0,1.0,tarde
3.0,0.0,1.0,tarde
22.0,1.0,1.0,tarde
21.0,1.0,1.0,tarde
22.0,1.0,1.0,tarde
27.0,1.0,1.0,tarde
6.0,0.0,1.0,tarde
20.0,1.0,1.0,noche
17.0,1.0,1.0,noche
19.0,1.0,1.0,noche
47.0,1.0,1.0,noche
5.0,0.0,1.0,noche
63.0,1.0,1.0,noche
55.0,1.0,1.0,noche
53.0,1.0,1.0,noche
105.0,1.0,1.0,noche
20.0,1.0,1.0,noche
72.0,1.0,1.0,noche
26.0,1.0,1.0,noche
99.0,1.0,1.0,noche
52.0,1.0,1.0,noche
33.0,1.0,1.0,noche
147.0,1.0,1.0,noche
18.0,1.0,1.0,noche
25.0,1.0,1.0,noche
5.0,0.0,1.0,noche
21.0,1.0,1.0,noche
13.0,0.0,1.0,noche
21.0,1.0,1.0,noche
11.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
-1.0,0.0,1.0,noche
8.0,0.0,1.0,noche
6.0,0.0,1.0,noche
-4.0,0.0,1.0,noche
6.0,0.0,1.0,noche
-4.0,0.0,1.0,tarde
0.0,0.0,1.0,tarde
3.0,0.0,1.0,tarde
-1.0,0.0,1.0,tarde
-10.0,0.0,1.0,tarde
16.0,1.0,1.0,tarde
-1.0,0.0,1.0,tarde
1.0,0.0,1.0,tarde
14.0,0.0,1.0,tarde
8.0,0.0,1.0,tarde
7.0,0.0,1.0,tarde
7.0,0.0,1.0,tarde
5.0,0.0,1.0,tarde
17.0,1.0,1.0,tarde
1.0,0.0,1.0,tarde
12.0,0.0,1.0,tarde
-3.0,0.0,1.0,tarde
33.0,1.0,1.0,tarde
6.0,0.0,1.0,tarde
-4.0,0.0,1.0,tarde
8.0,0.0,1.0,tarde
7.0,0.0,1.0,tarde
-1.0,0.0,1.0,tarde
3.0,0.0,1.0,tarde
-7.0,0.0,1.0,tarde
12.0,0.0,1.0,tarde
-2.0,0.0,1.0,tarde
7.0,0.0,1.0,tarde
14.0,0.0,1.0,tarde
14.0,0.0,1.0,tarde
-5.0,0.0,1.0,tarde
-11.0,0.0,1.0,noche
13.0,0.0,1.0,noche
-2.0,0.0,1.0,noche
-12.0,0.0,1.0,noche
7.0,0.0,1.0,noche
-1.0,0.0,1.0,noche
